xy_black_currently_performance,apply_no
17.0,key1
2.0,key2
1.0,key3
2.0,key4
,key5
,key6
1.0,key7
3.0,key8
1.0,key9
19.0,key10
1.0,key11
2.0,key12
27.0,key13
1.0,key14
2.0,key15
3.0,key16
1.0,key17
2.0,key18
,key19
3.0,key20
5.0,key21
1.0,key22
2.0,key23
1.0,key24
1.0,key25
1.0,key26
3.0,key27
,key28
4.0,key29
2.0,key30
1.0,key31
1.0,key32
3.0,key33
3.0,key34
1.0,key35
,key36
2.0,key37
1.0,key38
,key39
,key40
1.0,key41
1.0,key42
1.0,key43
,key44
13.0,key45
1.0,key46
1.0,key47
,key48
2.0,key49
,key50
5.0,key51
,key52
3.0,key53
4.0,key54
4.0,key55
1.0,key56
,key57
2.0,key58
,key59
6.0,key60
,key61
,key62
2.0,key63
2.0,key64
,key65
6.0,key66
,key67
1.0,key68
1.0,key69
1.0,key70
2.0,key71
,key72
1.0,key73
1.0,key74
1.0,key75
3.0,key76
3.0,key77
5.0,key78
1.0,key79
16.0,key80
1.0,key81
,key82
2.0,key83
8.0,key84
1.0,key85
8.0,key86
,key87
1.0,key88
,key89
6.0,key90
1.0,key91
1.0,key92
3.0,key93
3.0,key94
1.0,key95
4.0,key96
1.0,key97
1.0,key98
1.0,key99
1.0,key100
