,index,mean_imp
0,sd_blacklist_pid_blacklevel,1.0
1,sd_loaninfo_mobile_all_overdueloancount,3.5
2,sd_loaninfo_mobile_all_overduetenantcount,2.0
3,sd_loaninfo_pid_all_loancount,1.0
4,sd_loaninfo_pid_d360_averageloangapdays,132.625
5,sd_loaninfo_pid_d360_daysfromlastloan,4.0
6,sd_loaninfo_pid_d360_monthsfromfirstloan,1.0
7,td_final_score,162.0
8,td_idcard_lend_muti_platform_d90,2.8333333333333335
9,td_idcard_loan_bank_person_num_d30,2.0
10,td_idcard_loan_bank_person_num_d7,1.0
11,td_idcard_loan_big_data_finance_num_d30,2.3333333333333335
12,td_idcard_loan_credit_card_num_d7,2.5
13,td_idcard_loan_inter_finance_num_d7,4.5
14,td_idcard_loan_online_bank_num_d30,3.125
15,td_lend_muti_platform_d90,6.875
16,td_loan_bank_finance_num_d7,3.0
17,td_loan_bank_person_num_d30,3.125
18,td_loan_big_data_finance_num_d30,1.6
19,td_loan_big_data_finance_num_d7,1.5
20,td_loan_compre_electricity_num_d7,3.6666666666666665
21,td_loan_level1_electricity_d7,1.6666666666666667
22,td_loan_level1_insurance_d7,1.0
23,td_loan_level1_online_finance_d7,1.3333333333333333
24,td_loan_property_insurance_num_d30,5.428571428571429
25,td_loan_property_insurance_num_d7,1.5714285714285714
26,td_mobile_lend_muti_platform_d90_num,8.125
27,td_mobile_loan_big_data_finance_num_d30,2.5714285714285716
28,td_mobile_loan_big_data_finance_num_d7,1.0
29,td_mobile_loan_direct_bank_num_d90,1.0
30,td_mobile_loan_property_insurance_num_d7,1.5
31,td_time_between_1_and_5,2.4
32,ten_fraud_abnormal_pay,11.5
33,ten_fraud_risk_score,141.75
34,tzre_es_m1_overdue_repay_sum,2.2
35,tzre_es_m1_repay_fail_sum,3.142857142857143
36,tzre_es_m3_overdue_repay_sum,1.6666666666666667
37,tzre_pi_m12_overdue_replay_count,3.875
38,tzre_pi_m1_overdue_replay_count,1.0
39,tzre_pi_m1_register_count,6.0
40,tzre_pi_m3_overdue_replay_count,1.5714285714285714
41,tzre_rf_m12_ave_overdue_amount_level,26.25
42,tzre_rf_m12_ave_overdue_repay_amount_level,11.25
43,tzre_rf_m12_max_apply_request_amount_level,23.5
44,tzre_rf_m12_max_loan_offer_amount_level,18.5
45,tzre_rf_m12_max_overdue_repay_delay_level,2.0
46,tzre_rf_m1_ave_apply_request_amount_level,2.5714285714285716
47,tzre_rf_m1_ave_loan_offer_amount_level,6.375
48,tzre_rf_m1_ave_overdue_amount_level,3.5714285714285716
49,tzre_rf_m1_ave_repay_amount_level,39.5
50,tzre_rf_m1_max_apply_request_amount_level,1.8
51,tzre_rf_m24_ave_overdue_repay_delay_level,3.4285714285714284
52,tzre_rf_m24_max_overdue_delay_level,13.125
53,tzre_rf_m24_max_repay_amount_level,52.0
54,tzre_rf_m3_ave_apply_request_amount_level,11.625
55,tzre_rf_m3_ave_loan_offer_amount_level,12.375
56,tzre_rf_m3_ave_overdue_amount_level,8.375
57,tzre_rf_m3_ave_overdue_repay_amount_level,4.0
58,tzre_rf_m3_max_overdue_delay_level,6.0
59,tzre_rf_m3_max_overdue_repay_delay_level,2.6
60,tzre_rf_m3_max_repay_amount_level,39.125
61,tzre_rf_m6_ave_loan_offer_amount_level,12.0
62,tzre_rf_m6_ave_overdue_delay_level,4.25
63,tzre_rf_m6_ave_overdue_repay_amount_level,5.875
64,tzre_rf_m6_ave_overdue_repay_delay_level,3.5
65,tzre_rf_m6_max_apply_request_amount_level,22.375
66,tzre_rf_m6_max_overdue_amount_level,11.625
67,tzre_rf_m6_max_overdue_repay_delay_level,1.5
68,tzre_rf_m6_max_repay_amount_level,39.0
69,tzre_score_l,121.875
70,xy_black_currently_performance,44.125
71,xy_black_desc,20.125
